main question,extract_question,answer,test_type
"What is the synonym of opkic aropxy","[['opkic aropxy', 'synonym_of', 'what'], ['dominant optic atrophy', 'synonym_of', 'what']]",Autosomal dominant optic atrophy,3
"What is the synonym of Motor axonal neuropathy","[['motor axonal neuropathy', 'synonym_of', 'what'], ['motor axonal neuropathy', 'synonym_of', 'what']]",Achalasia Addisonianism Alacrimia syndrome,1
"What is the synonym of Motor axonal neuropathy and Intellectual disability","[['intellectual disability', 'synonym_of', 'what'], ['motor axonal neuropathy', 'synonym_of', 'what'], ['atelectasis', 'synonym_of', 'what'], ['intellectual', 'synonym_of', 'what'], ['motor axonal neuropathy', 'synonym_of', 'what']]","['Achalasia Addisonianism Alacrimia syndrome', 'Farber lipogranulomatosis']",2
"What is the disease of Motor axonal neuropathy and Intellectual disability, ATT Defienicy","[['intellectual disability', 'disease of', 'what'], ['att defienicy', 'disease of', 'what'], ['atelectasis', 'disease of', 'what'], ['motor axonal neuropathy', 'disease_of', 'what', 'rate'], ['aa', 'disease of', 'what'], ['aat deficiency', 'disease of', 'what'], ['motor axonal neuropathy', 'disease of', 'what'], ['intellectual', 'disease of', 'what'], ['att', 'disease of', 'what']]","['Ectodermal dysplasia alopecia preaxial polydactyly . Rate: 30%-79%%', 'Acroosteolysis-keloid-like lesions-premature aging syndrome . Rate: 5%-29%%', 'ACSL4-related intellectual disability . Rate: 0%']",4
"What is the disease of Progressive,AA, Intellectual disability, ATT Defienicy","[['irritability', 'disease of', 'what'], ['intellectual disability', 'disease of', 'what'], ['att', 'disease of', 'what'], ['rapidly progressive', 'disease of', 'what'], ['att defienicy', 'disease of', 'what'], ['aa', 'disease of', 'what'], ['disability', 'disease of', 'what'], ['progressive', 'disease_of', 'what', 'rate'], ['aat deficiency', 'disease of', 'what']]","['Clasped thumbs, congenital . Rate: 5%-29%%', ""Adult-onset Still's disease . Rate: 5%-29%%"", 'Mannosidosis, beta A, lysosomal . Rate: 0%']",4
"What is the disease of helloworld","[['helloworld', 'disease_of', 'what', 'rate'], ['absence of the sacrum', 'disease of', 'what']]","['Unknown']",5
"What is the disease of Saundice","[[['saundice', 'disease_of', 'what', 'rate'], ['jaundice', 'disease_of', 'what', 'rate']]]","[['ACTH-independent macronodular adrenal hyperplasia . Rate: 5%-29%%', 'Febrile infection-related epilepsy syndrome . Rate: 5%-29%%', 'Adult T-cell leukemia/lymphoma . Rate: 5%-29%%']]",5
"What is the disease of Jaundice","[[['jaundice', 'disease_of', 'what', 'rate'], ['jaundice', 'disease_of', 'what', 'rate']]]","[['ACTH-independent macronodular adrenal hyperplasia . Rate: 5%-29%%', 'Febrile infection-related epilepsy syndrome . Rate: 5%-29%%', 'Adult T-cell leukemia/lymphoma . Rate: 5%-29%%']]",6
"What is the disease of Saundice, Kirrhosis and AAT","[[['saundice', 'disease_of', 'what', 'rate'], ['aat', 'disease_of', 'what', 'rate'], ['cirrhosis', 'disease_of', 'what', 'rate'], ['kirrhosis', 'disease_of', 'what', 'rate'], ['jaundice', 'disease_of', 'what', 'rate'], ['aa', 'disease_of', 'what', 'rate']]]","[['Autosomal dominant palmoplantar keratoderma and congenital alopecia . Rate: 5%-29%%', 'Autoimmune enteropathy . Rate: 1%-4%%', 'Pituitary hormone deficiency, combined 1 . Rate: 5%-29%%']]",5
"What is the disease of Chronic pulmonary obstruction","[[['chronic pulmonary obstruction', 'disease_of', 'what', 'rate'], ['chronic pulmonary obstruction', 'disease_of', 'what', 'rate']]]","[['Achard syndrome . Rate: 5%-29%%', 'Advanced sleep phase syndrome, familial . Rate: 5%-29%%', 'Deafness oligodontia syndrome . Rate: 5%-29%%']]",6
"What is the disease of ATT deficiency","[[['aat deficiency', 'disease_of', 'what', 'rate'], ['att deficiency', 'disease_of', 'what', 'rate']]]","[['Autosomal dominant palmoplantar keratoderma and congenital alopecia . Rate: 5%-29%%', 'Myelodysplastic syndrome with single lineage dysplasia . Rate: 0%', 'Acute intermittent porphyria . Rate: 0%']]",6
"What is the disease of MPS II","[[['mps ii', 'disease_of', 'what', 'rate'], ['amastia', 'disease_of', 'what', 'rate']]]","[['Mehta Lewis Patton syndrome . Rate: 5%-29%%', 'Panostotic fibrous dysplasia . Rate: 30%-79%%', 'Smith McCort dysplasia . Rate: 30%-79%%']]",6
"What is the acronym of Balkan endemic nephropathy","[[['balkan endemic nephropathy', 'acronym', 'what'], ['balkan endemic nephropathy', 'acronym_of', 'what']]]","[['Unknown']]",7
"What is the synonym of Balkan endemic nephropathy","[[['balkan endemic nephropathy', 'synonym_of', 'what'], ['balkan endemic nephropathy', 'synonym_of', 'what']]]","[['BEN']]",1
"What is the synonym of Balkan endemic nephropathy and Johnson neuroectodermal syndrome","[[['balkan endemic nephropathy', 'synonym_of', 'what'], ['johnson neuroectodermal syndrome', 'synonym_of', 'what'], ['balkan endemic nephropathy', 'synonym_of', 'what'], ['syndrome', 'synonym_of', 'what'], ['w syndrome', 'synonym_of', 'what']]],[['BEN', 'Johnson-Mcmillin syndrome', 'Abnormality of the scalp hair', 'Agenesis of maxillary central incisor', 'Pallister W syndrome']],2What is the acronym AAT deficiency,[[['aat deficiency', 'acronym_of', 'what'], ['aat deficiency', 'acronym_of', 'what']]]","[[' AATD']]",7
"What is the acronym AAT deficiency,A1AT deficiency and Emphysema and AA","[[['a1at deficiency', 'acronym_of', 'what'], ['c1q deficiency', 'acronym_of', 'what'], ['emphysema', 'acronym_of', 'what'], ['deficiency', 'acronym_of', 'what'], ['aat deficiency', 'acronym_of', 'what'], ['aa', 'acronym_of', 'what'], ['gout', 'acronym_of', 'what'], ['aat deficiency', 'acronym_of', 'what'], ['pc deficiency', 'acronym_of', 'what'], ['a1at', 'acronym_of', 'what']]]","[[' AATD', ' Patchy alopecia', ' Leigh necrotizing encephalopathy due to pyruvate carboxylase deficiency', ' MUC1-related autosomal dominant medullary cystic kidney disease']]",8
"What is the acronym AA","[[['aa', 'acronym_of', 'what'], ['', 'acronym_of', 'what']]]","[[' Patchy alopecia']]",7
"What is the AA","[[['aa', 'is', 'what']]]","[['symtom-Alopecia totalis', 'symtom-Alopecia universalis', 'symtom-Autoimmunity', 'symtom-Multifactorial inheritance', 'symtom-Nail pits']]",9
"What is the Patchy alopecia","[[['patchy alopecia', 'is', 'what']]]","[['symtom-AA', 'symtom- Patchy alopecia']]",9
"What is BEN","[[['ben', 'is', 'what'], ['aa', 'is', 'what']]]","[['symtom-Nephropathy', 'disease-Balkan endemic nephropathy', 'symtom-Alopecia totalis', 'symtom-Alopecia universalis', 'symtom-Autoimmunity']]",9
"What is BEN10","[[['ben10', 'is', 'what'], ['spg10', 'is', 'what']]]","[['symtom-Spastic paraparetic gait', 'symtom-Spastic/hyperactive bladder', 'symtom-Dupuytren contracture', 'symtom-Progressive pes cavus', 'symtom-Upper limb amyotrophy']]",10
"What is Michile Jordan","[[['michile jordan', 'is', 'what'], ['trichilemmoma', 'is', 'what']]]","[['symtom-Dysplastic gangliocytoma of the cerebellum', 'symtom-None']]",10
"What is your father name ","[[['your father name', 'is', 'what'], ['poor appetite', 'is', 'what']]]","[['symtom-Short stature, Hyperextensibility, Hernia, Ocular depression, Rieger anomaly and Teething delay; Aarskog-Ose-Pande syndrome; Partial lipodystrophy with Rieger anomaly and short stature', 'symtom-None']]",10
"What is AA,Absence of gluteal muscle, Zika fever ","[[['zika fever', 'is', 'what'], ['absence of gluteal muscle', 'is', 'what'], ['aa', 'is', 'what']]]","[['disease-Zika virus infection', 'disease-Gluteal muscle, absence of; Congenital absence of gluteal muscles', 'symtom-Alopecia totalis', 'symtom-Alopecia universalis', 'symtom-Autoimmunity']]",11
"What is Zika fever,AA, Absence of gluteal muscle, Zika fever ","[[['fever', 'is', 'what'], ['zika fever', 'is', 'what'], ['absence of gluteal muscle', 'is', 'what'], ['jaundice', 'is', 'what'], ['absence', 'is', 'what'], ['aa', 'is', 'what']]]","[['symtom-pompe disease', 'symtom- aglucosidase alfa', 'disease-zika virus infection', 'disease-gluteal muscle, absence of; congenital absence of gluteal muscles', 'symtom-aat deficiency']]",11
"What have Enlarged fossa interpeduncularis. What is the disease","[['aa', 'is', 'what'], ['disease', 'is', 'what']]","['Unknown', 'symtom-alopecia totalis', 'symtom-alopecia universalis']",12
"I have Enlarged fossa interpeduncularis. What is the disease","[['disease', 'is', 'what'], ['aa', 'is', 'what']]","['Unknown', 'symtom-alopecia totalis', 'symtom-alopecia universalis']",12
"What is SCA1","[['sca1', 'is', 'what'], ['acne', 'is', 'what']]","['symtom-abnormal flash visual evoked potentials', 'symtom-abnormal nerve conduction velocity', 'symtom-acquired hyperostosis syndrome; synovitis, acne, pustlosis, hyperostosis, and osteomyelitis; synovitis acne pustulosis hyperostosis osteitis', 'symtom-nan']",12
"I have a1at deficiency and babinski sign. What is the disease ","[['babinski sign', 'disease_of', 'what', 'rate'], ['babinski sign', 'disease_of', 'what', 'rate']]","['Unknown', 'Unknown']",12
"I have jaundice,childhood onset and headache. What is the disease ","[['headache', 'disease_of', 'what', 'rate'], ['headache', 'disease_of', 'what', 'rate']]","['acth-independent macronodular adrenal hyperplasia . Rate: 5%-29%%', 'febrile infection-related epilepsy syndrome . Rate: 5%-29%%', 'Unknown', 'cutis marmorata telangiectatica congenita . Rate: 0%', 'epidermolysis bullosa, lethal acantholytic . Rate: 80%-99%%', 'absent breasts and nipples . Rate: 30%-79%%', 'asternia . Rate: 0%']",12
"I have Small fontanelle. What is the disease ?","[['small fontanelle', 'disease_of', 'what', 'rate'], ['small fontanelle', 'disease_of', 'what', 'rate']]","['Unknown']",12
"I am be announced as intellectual disability and short stature . What is the disease ?","[['', 'disease_of', 'what', 'rate'], ['aa', 'disease_of', 'what', 'rate']]","['crandall syndrome . Rate: 0%', 'mycoplasmal pneumonia . Rate: 0%', 'abdominal cystic lymphangioma . Rate: 0%', 'human hoxa1 syndromes . Rate: 5%-29%%', 'acquired hemophilia a . Rate: 80%-99%%']",13
"I got intellectual disability and short stature . What is the disease ?","[['short stature', 'disease_of', 'what', 'rate'], ['short stature', 'disease_of', 'what', 'rate']]","['aagenaes syndrome . Rate: 0%', 'diamond-blackfan anemia . Rate: 1%-4%%', 'spasmodic dysphonia . Rate: 1%-4%%', 'adermatoglyphia . Rate: 1%-4%%']",13
"I got intellectual disability and short stature . What is the disease ?","[['short stature', 'disease_of', 'what', 'rate'], ['short stature', 'disease_of', 'what', 'rate']]","['aagenaes syndrome . Rate: 0%', 'diamond-blackfan anemia . Rate: 1%-4%%', 'spasmodic dysphonia . Rate: 1%-4%%', 'adermatoglyphia . Rate: 1%-4%%']",13
"I got short stature . What is the disease ?","[['short stature', 'disease_of', 'what', 'rate'], ['short stature', 'disease_of', 'what', 'rate']]","['spasmodic dysphonia . Rate: 1%-4%%', 'adermatoglyphia . Rate: 1%-4%%']",12
"I got short johnson neuroectodermal syndrome . What are the symptoms ?","[['johnson neuroectodermal syndrome', 'symptom_of', 'what', 'rate'], ['johnson neuroectodermal syndrome', 'symptom_of', 'what', 'rate']]","['elevated hepatic transaminase . Rate: 0%']",14
"Doctor told me I got short johnson neuroectodermal syndrome . What are the symptoms ?","[['christianson syndrome', 'symptom_of', 'what', 'rate'], ['short johnson syndrome', 'symptom_of', 'what', 'rate']]","['Unknown', 'arthrogryposis multiplex congenita . Rate: 80%-99%%', 'abnormality of the malleus . Rate: 80%-99%%']",14
"What is the disease . I got intellectual disability and short stature .","[['short stature', 'disease_of', 'what', 'rate'], ['short stature', 'disease_of', 'what', 'rate']]","['aagenaes syndrome . Rate: 0%', 'diamond-blackfan anemia . Rate: 1%-4%%', 'spasmodic dysphonia . Rate: 1%-4%%', 'adermatoglyphia . Rate: 1%-4%%']",15
"What are the symptoms . I got aarskog syndrome .","[['aarskog syndrome', 'symptom_of', 'what', 'rate'], ['aarskog syndrome', 'symptom_of', 'what', 'rate']]","['facial palsy . Rate: 5%-29%%', 'hypogonadotropic hypogonadism . Rate: 0%']",16
